FIPS Code,County,State,"County, State",Percentile Sociodemographic Domain Score,Percentile Air Domain Score,Percentile Water Domain Score,Percentile Built-Environment Domain Score,Percentile Land Domain Score,Percentile Adults with less than High School Diploma,Percentile Adults with High School Diploma,Percentile Adults completing a College Degree,Percentile Total Labour Force,Percentile Employed,Percentile Unemployed,Percentile Median Monthly Rent (Studio)
12053,Hernando County,Florida,"Hernando County, FL",72.00127267,82.11899459,98.98186446,24.7534203,70.28316895,53.45211581,47.69328667,80.19408209,86.06426981,86.00063633,87.33693923,6.124721604
12055,Highlands County,Florida,"Highlands County, FL",40.75723831,59.81546293,99.61819917,58.57461024,11.10404073,69.83773465,66.01972638,46.64333439,76.55106586,76.42379892,80.06681514,31.75310213
12057,Hillsborough County,Florida,"Hillsborough County, FL",92.39580019,76.80559975,97.00922685,57.23830735,24.02163538,49.71364938,16.68787782,23.98981864,99.23639835,99.26821508,98.88641425,6.124721604
12059,Holmes County,Florida,"Holmes County, FL",13.33121222,21.95354757,94.9093223,11.29494114,38.46643334,88.41870824,92.26853325,18.13553929,34.64842507,34.75978365,32.29398664,61.48584155
12061,Indian River County,Florida,"Indian River County, FL",79.38275533,73.71937639,99.74546612,74.83296214,2.481705377,40.32771238,22.81259943,46.85014318,84.82341712,84.75978365,85.30066815,19.83773465
12063,Jackson County,Florida,"Jackson County, FL",35.98472797,71.71492205,93.85937003,47.05695196,18.99459115,82.34171174,71.39675469,49.20458161,60.70633153,60.54724785,61.53356666,51.8771874
12065,Jefferson County,Florida,"Jefferson County, FL",45.37066497,62.90168629,92.96850143,49.15685651,55.23385301,81.21221763,51.03404391,11.64492523,29.11231308,29.20776328,27.15558384,13.39484569
12067,Lafayette County,Florida,"Lafayette County, FL",7.604199809,80.24180719,93.19121858,15.84473433,59.59274578,97.70919504,86.06426981,4.1998091,13.52211263,13.60165447,13.4902959,20.96722876
12069,Lake County,Florida,"Lake County, FL",82.08717786,86.98695514,96.81832644,35.38020999,40.82087178,41.09131403,39.21412663,68.46961502,93.0321349,93.0321349,92.90486796,3.388482342
12071,Lee County,Florida,"Lee County, FL",83.67801464,53.19758193,99.68183264,57.74737512,47.34330258,47.10467706,34.42570792,39.53229399,96.97741012,97.10467706,96.15017499,8.399618199
12073,Leon County,Florida,"Leon County, FL",94.8138721,61.50174992,95.16385619,74.86477887,87.94145721,14.09481387,3.308940503,26.01018136,92.84123449,92.87305122,91.95036589,13.39484569
12075,Levy County,Florida,"Levy County, FL",29.62138085,56.88832326,95.73655743,53.13394846,43.8752784,65.44702514,83.98027362,46.97741012,59.94272988,59.94272988,60.2290805,64.71524022
12077,Liberty County,Florida,"Liberty County, FL",6.108813236,71.07858734,95.06840598,12.09035953,97.07286032,90.1686287,94.33662106,2.704422526,12.09035953,12.13808463,13.18803691,42.06172447
12079,Madison County,Florida,"Madison County, FL",28.85777919,79.66910595,92.33216672,45.7524658,49.34775692,89.40502704,65.3674833,34.61660834,38.02099905,37.98918231,41.20267261,42.06172447
12081,Manatee County,Florida,"Manatee County, FL",84.69615017,78.5555202,95.38657334,57.49284123,10.46770601,45.81609927,27.53738466,37.25739739,93.76391982,93.85937003,92.71396755,10.48361438
12083,Marion County,Florida,"Marion County, FL",69.01049952,45.02068088,95.89564111,36.87559656,64.20617245,56.0769965,62.67896914,48.09099586,92.23671651,92.10944957,92.52306713,19.94909322
12085,Martin County,Florida,"Martin County, FL",88.99140948,54.91568565,99.80909959,78.71460388,27.45784283,30.20999045,12.53579383,59.8313713,86.09608654,86.19153675,83.45529749,8.510976774
12086,Miami-Dade County,Florida,"Miami-Dade County, FL",91.85491569,71.20585428,100,68.2787146,40.24817054,83.50302259,15.84473433,10.16544703,99.77728285,99.77728285,99.58638244,3.118040089
12087,Monroe County,Florida,"Monroe County, FL",93.35030226,28.92141266,99.96818326,99.14094814,96.46834235,26.50334076,18.45370665,34.61660834,80.27362393,80.55997455,73.98981864,1.829462297
12089,Nassau County,Florida,"Nassau County, FL",74.32389437,81.60992682,91.66401527,42.25262488,91.28221444,31.99172765,37.92554884,33.18485523,79.28730512,79.57365574,75.02386255,13.1403118
12091,Okaloosa County,Florida,"Okaloosa County, FL",84.6325167,44.25707922,97.45466115,78.49188673,65.4152084,20.82405345,11.45402482,78.98504613,89.50047725,89.62774419,86.00063633,8.46325167
12093,Okeechobee County,Florida,"Okeechobee County, FL",18.83550748,65.82882596,97.61374483,49.72955775,36.49379574,89.69137766,73.19440025,19.64683423,61.11994909,61.15176583,59.00413618,33.1530385
12095,Orange County,Florida,"Orange County, FL",94.17753738,84.18708241,98.18644607,59.46547884,46.38880051,51.62265352,9.656379255,35.49156857,99.20458161,99.20458161,99.07731467,3.388482342
12097,Osceola County,Florida,"Osceola County, FL",80.11454025,31.30766783,98.95004773,24.97613745,64.90614063,66.13108495,25.18294623,68.91504932,94.01845371,93.66846962,94.97295577,3.388482342
12099,Palm Beach County,Florida,"Palm Beach County, FL",93.89118676,35.60292714,99.90454979,72.16035635,8.335984728,50.65224308,9.385937003,26.01018136,99.17276487,99.17276487,98.85459752,5.854279351
12101,Pasco County,Florida,"Pasco County, FL",82.40534521,30.16226535,98.28189628,19.18549157,42.47534203,41.74355711,48.44097996,51.70219535,95.45020681,95.51384028,94.68660515,6.124721604
12103,Pinellas County,Florida,"Pinellas County, FL",91.63219854,48.90232262,99.30003182,79.12822144,86.9551384,28.81005409,17.2446707,56.31562202,98.31371301,98.37734648,96.97741012,6.124721604
12105,Polk County,Florida,"Polk County, FL",74.61024499,30.19408209,98.91823099,32.2621699,4.613426662,69.63092587,47.51829462,50.63633471,96.53197582,96.53197582,96.59560929,12.66306077
12107,Putnam County,Florida,"Putnam County, FL",27.5214763,32.42125358,91.98218263,48.39325485,61.78810054,81.25994273,87.01877187,20.28316895,72.09672288,71.71492205,76.83741648,47.34330258
12109,St. Johns County,Florida,"St. Johns County, FL",95.76837416,57.20649061,95.32293987,51.22494432,48.0750875,6.013363029,6.045179765,30.94177537,92.14126631,92.23671651,88.7368756,13.1403118
12111,St. Lucie County,Florida,"St. Lucie County, FL",73.65574292,52.84759784,99.84091632,36.84377983,10.65860643,60.35634744,39.64365256,62.04263443,92.65033408,92.68215081,92.80941775,8.510976774
12113,Santa Rosa County,Florida,"Santa Rosa County, FL",81.89627744,65.38339166,97.64556157,19.05822463,51.09767738,29.71683105,17.00604518,87.86191537,87.87782374,88.06872415,84.82341712,12.45625199
12115,Sarasota County,Florida,"Sarasota County, FL",89.15049316,45.33884823,98.60006363,83.48711422,79.38275533,15.43111677,18.78778237,35.36430162,94.20935412,94.30480433,92.84123449,10.48361438
12117,Seminole County,Florida,"Seminole County, FL",95.38657334,52.78396437,97.35921094,68.53324849,71.9376392,7.52465797,4.454342984,64.90614063,95.38657334,95.45020681,94.49570474,3.388482342
12119,Sumter County,Florida,"Sumter County, FL",64.30162265,36.27107859,97.93191219,5.122494432,68.7241489,23.73528476,30.76678333,40.18453707,76.26471524,76.36016545,78.14190264,18.07190582
12121,Suwannee County,Florida,"Suwannee County, FL",25.89882278,69.45593382,91.88673242,23.73528476,34.61660834,81.73719376,82.78714604,14.50843143,61.02449889,60.99268215,61.10404073,35.38020999
12123,Taylor County,Florida,"Taylor County, FL",9.035952911,77.34648425,94.75023863,65.4152084,94.27298759,85.88927776,96.75469297,7.906458797,39.51638562,39.42093541,42.45943366,39.91409481
12125,Union County,Florida,"Union County, FL",13.64937957,82.08717786,91.25039771,2.545338848,49.6022908,95.43429844,66.52879415,31.7212854,23.51256761,23.83073497,20.155902,42.06172447
12127,Volusia County,Florida,"Volusia County, FL",83.74164811,70.95132039,97.77282851,61.24721604,68.50143175,34.96659243,36.36652879,76.59879096,95.67292396,95.64110722,95.06840598,18.50143175
12129,Wakulla County,Florida,"Wakulla County, FL",63.50620426,47.12058543,93.38211899,28.28507795,95.51384028,56.69742284,53.77028317,73.21030862,57.39739103,57.97009227,49.18867324,19.59910913
12131,Walton County,Florida,"Walton County, FL",73.05122494,79.63728921,97.70919504,71.96945593,55.71110404,46.65924276,23.19440025,44.70251352,76.07381483,76.2328985,70.80814508,13.76073815
12133,Washington County,Florida,"Washington County, FL",33.5984728,75.53293032,95.29112313,27.58510977,70.47406936,82.54852052,88.22780783,24.2602609,44.44797964,44.38434617,44.82978046,65.89245943
13001,Appling County,Georgia,"Appling County, GA",12.09035953,73.65574292,51.63856188,38.59370029,14.60388164,94.52752148,67.64237989,43.57301941,43.77982819,44.00254534,36.9074133,78.11008591
13003,Atkinson County,Georgia,"Atkinson County, GA",3.149856825,76.2328985,66.59242762,2.89532294,24.91250398,99.39548202,49.36366529,3.245307031,23.22621699,23.7671015,16.22653516,74.33980274
13005,Bacon County,Georgia,"Bacon County, GA",6.395163856,74.10117722,65.09704104,48.42507159,27.01240853,81.86446071,93.74801145,30.54406618,25.16703786,25.61247216,18.69233217,95.89564111
13007,Baker County,Georgia,"Baker County, GA",15.11294941,74.2602609,68.11963093,0.254533885,23.3216672,78.85777919,56.42698059,18.29462297,3.929366847,3.881641744,6.776964683,70.12408527
13009,Baldwin County,Georgia,"Baldwin County, GA",57.97009227,69.71046771,64.71524022,46.2933503,76.10563156,64.44479796,41.79128221,39.230035,61.43811645,61.43811645,63.23576201,43.95482024
